	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
Adipocytes	0	0.0041	0	0	0.0192	0.0249	0.0021	1e-04	0.0101	0.0056	0.0067	0.0052	0.0047	0	0.0055	0	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0	0.0312	0	0.0763	0	0.0156	0	0	0	0	0
B-cells	0.0456	0.0259	0.0546	0.3165	0.0113	0.1384	0.1302	0.0319	0.131	0.1639	0	0.017	0	0	0	0	0.0146	0	0.0126	0
Basophils	0	0.1079	0	0	0.0205	0.0561	0.1436	0.0139	0.0672	0.0103	0	0	0	0	0	0.0366	0.0602	0.0232	0.067	0.0453
CD4+ T-cells	0	0	0	0	0	0	0.0084	0	0	0.0129	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0	0.0033	0	0	0.0079	0.0017	0.0149	0	0	0	0	0	0	0	0	0	0.0457	0	0	0
CD4+ Tem	0.0506	0.0501	0.0664	0.1393	0.0496	0.0828	0.1188	0.0569	0.0167	0.1478	0	0.0281	0	0	0	0	0	0	0	0
CD4+ memory T-cells	5e-04	0.0051	0.0031	0.06	0.0025	0.0139	0.061	5e-04	0.0098	0.0664	0	0	0.0023	0	0	0	0	0	0	0
CD4+ naive T-cells	0	0	0	0.0378	0	0	0.0094	0	0	0.0406	0	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0.0367	0	0	0.1152	0	0.0189	0.0208	0	0	0.1408	0	0	0	0	0	0.0066	0	0.0152	0	0.0115
CD8+ Tcm	0.0573	0.0129	0.0203	0.1428	0.0156	0.053	0.108	0.0319	0.0478	0.2265	0.0037	0	0	0	0	0	0	0.0059	0	5e-04
CD8+ Tem	0	0	0	0.0263	0	0	0.0244	0	0	0.0744	0	0	0	0	0	0	0	0	0	0
CD8+ naive T-cells	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	0.0041	0	0.004
CLP	0.0179	0.0248	0.0093	0	0.0098	0.0129	0.0037	0.0143	0.0307	0.0117	0.0194	0.026	0.0138	0.0147	0.0218	0.0353	0.0392	0.0067	0.0386	0.008
CMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrocytes	0	0	0.0445	0	0	0	0	0	0.0059	0	0.0336	0	0	0.0172	0.0089	0	0	0.0104	0.029	0.0015
Class-switched memory B-cells	0.0484	0.027	0.0593	0.0757	0.0148	0.0759	0.0465	0.0537	0.0501	0.0737	0	0.0328	0	0.0145	4e-04	0.0099	0.0092	0.0239	0.0264	0.0157
DC	0.0336	0.0293	0.0596	0.2447	0.0221	0.036	0.0567	0.0343	0.0436	0.0553	0.0412	0.0279	4e-04	0.0163	0	0	0	5e-04	0.0038	0
Endothelial cells	0	0	0.0588	0.0978	0.0054	0	0.0125	0.0042	0.0068	0	0.0663	0.0073	0.0085	0.0422	0.0338	0	0	0.0229	0.077	0.0414
Eosinophils	0.009	0	0.0336	0.4766	0.0063	0.0116	0	0.0109	0	0.0082	0	0.003	0	0	0	0	0	0	0	0
