"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13"
RFC2,6.38987931,6.51166005,6.403029796,6.864558632,6.253793257,6.521309426,6.240324564,6.502513829,6.502513829,5.426814864,6.267824677,4.401618833,4.797917768
HSPA6,3.605012039,2.692909438,2.496949055,2.420489144,2.4601527,2.467757073,2.345749133,2.459586924,2.445046748,2.347915378,2.444522635,2.856922992,2.477280568
UBA7,2.795465135,2.847863715,5.196150204,4.008866884,3.447534344,3.945291102,3.447396257,3.444718491,3.232209867,3.511960672,3.663457005,3.769618288,2.985664912
CCL5,9.06945823,7.045506715,5.813511728,6.169780021,7.839774512,5.346897557,5.361951706,5.948123053,5.183227089,5.478901674,5.309466634,5.278633428,5.707319467
SCARB1,5.462042559,5.424376161,4.955132859,6.087187185,8.182504099,3.938100853,5.025070048,4.097848586,6.734633312,7.101559925,6.237921203,6.726197845,6.387467175
TTLL12,5.480843037,7.800118052,6.534476942,6.740049615,4.992467804,7.324655059,5.226766678,4.392553969,6.627288998,6.356962535,7.011588961,5.716347062,5.781826513
MAPK1,5.127921421,3.965295898,4.38357536,4.19142063,3.690346824,6.555414271,3.862027309,2.801777596,3.810005155,3.750539162,3.214054158,5.005677548,4.643668098
MAPK1,5.207376637,5.545029136,3.419678853,5.708721586,4.015491167,7.075241802,4.810346367,4.658954929,4.746142871,3.439381128,2.934090255,3.912830182,4.194998134
SPATA17,5.588936109,4.617627304,2.806391422,4.432550607,2.592599586,2.625976594,4.012899174,2.895730812,2.643127761,2.535240563,2.643127761,2.240090673,2.538200631
PXK,5.25436375,4.328191078,4.025138532,4.801808301,4.357365319,5.056832432,5.664562596,5.366696033,5.864956891,3.824594657,4.18970889,3.906188868,5.262932316
SLC46A1,7.695634197,6.748546132,7.852398352,6.755237769,5.402269429,8.245524671,7.212886179,7.457722721,7.394488469,5.293197182,5.402835254,4.826014005,6.133539115
SLC46A1,4.833292569,4.863461926,5.111010436,4.790746945,3.190004319,6.022525178,4.914210519,5.772997796,5.051065486,4.790746945,4.816811101,3.956746724,3.939000186
ZDHHC11,8.834081801,7.44624217,8.821683564,7.421678589,6.765449836,8.038277952,8.726992133,8.939086857,7.245446841,7.952142157,8.71727176,9.744999631,8.788948235
ATP6V1E2,4.610962637,6.070636056,5.363389192,6.041618214,5.370046384,5.405004158,5.567212547,5.652207132,5.76383614,4.933677286,3.900850066,3.252295309,5.27525772
AFG3L1P,6.643493079,5.851964123,6.848936634,5.927911649,6.715214705,5.913800587,6.563214035,5.986903926,5.814785207,6.075855896,7.753695134,7.935117368,7.534090783
TMEM196,5.159346804,6.436446323,5.697860649,5.383079777,5.159346804,6.932189507,5.159346804,4.813246194,5.190294832,4.693307926,4.119101946,3.699292876,4.375385537
BEST4,2.258261949,2.258261949,2.240090673,2.41534639,2.41534639,2.39146988,2.415381262,2.415381262,3.57975651,2.546501634,2.415381262,2.579951182,2.415381262
AKD1,5.268735088,6.991731258,5.928355581,6.615599111,5.332248659,5.901640482,6.327757091,7.641328655,6.087871656,4.960938322,3.911379892,4.291951726,6.299800591
TMEM106A,4.97076153,4.656444189,4.493691447,4.856648754,5.785307891,5.350735003,4.631713908,4.320105467,3.271149873,3.271149873,5.196135278,5.211106126,4.493691447
ALG10,6.011054889,6.226173378,4.894955219,6.041688911,5.319604842,6.307592488,5.515841847,5.357649901,5.119974694,4.42920633,2.697364727,4.42920633,4.636199174
TTC39C,7.839227403,7.26002595,8.319527432,6.812686887,6.519993671,9.230113037,8.772434275,8.041990036,6.01616143,6.020262274,5.874392377,5.655571871,5.303211972
C15orf40,9.611286075,8.340711446,7.901855264,8.728707401,8.014248161,8.984624562,9.110901048,8.68763289,9.087975995,8.549308346,7.60952087,7.537330731,8.867401837
GIMAP1,4.509746517,4.141879761,3.358749256,5.034551576,5.614463678,4.406413601,3.778682469,3.912682099,3.169843586,3.658972821,3.54098522,3.180746226,3.76414758
