	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
Adipocytes	0	0	0	0.001	0	0	0	0	0	9e-04	0	0	0.0141
Astrocytes	0	0	0	0	0.0018	0	0	0	0	0	0	0.0588	0
B-cells	0	0	0	0	0	0	0	0.0126	0	0	0	0	0.0161
Basophils	0.006	0.06	0	0.0044	0.0115	0	0.0128	0	0	0.0483	0.0473	0.0441	0
CD4+ T-cells	0	0	0	0	0	0	0	0.0031	0	0	0	0	0
CD4+ Tcm	0	0	0	0	0	0	0	0	0	0	0	0	7e-04
CD4+ Tem	0.0597	0	0	0	0.0125	0	0	0.0014	0	0.0585	0.0943	0.08	0.002
CD4+ memory T-cells	0.0104	0.0053	0	0	0	0	0	0	0	0	0	0	0
CD4+ naive T-cells	0	0	0	0	0.0053	0.0102	0.0024	0.0126	0	0	0	0	0
CD8+ T-cells	0.0061	0	0.0058	0	0	0	0.0063	0.0148	0	0	0	0	0.0094
CD8+ Tcm	0.0337	0	0	0	0	0.0038	0.0058	0.0107	3e-04	0	0	0	0.0021
CD8+ Tem	0.0133	0	0	0.0014	0	0	0	0	0	0	0	0	0
CD8+ naive T-cells	0	8e-04	0.0031	0	0	0	0.0026	1e-04	0	0	0	0	0.0142
CLP	8e-04	0.008	0.0082	0.0081	3e-04	0.0043	0.0065	0.0115	0.0027	0	0	0	0.0046
CMP	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrocytes	0	0	0	0	0	0	0	0	0	0	0	6e-04	0.0012
Class-switched memory B-cells	0	0	0.0061	0	0	0	0	0	0	0	0.001	0	0
DC	0.0482	0	0	0	0.0155	0	0.0055	0.0028	0	0.0017	0	0.0043	0.0059
Endothelial cells	0.0078	0.005	0.0088	0.0551	0.138	0	0.01	0	0	0	0	0.012	0.0011
Eosinophils	0	0	0	0	0	0	0	0	0	0	0.0028	0.0102	0
Epithelial cells	0	0.0063	0.0032	0.0058	0.0093	0.0131	0.0196	0.0361	0.054	0.0647	0.1371	0.0586	0.0355
Erythrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblasts	0	0	0	7e-04	0.0138	0.0304	0	0	0	0	0	0	0.0046
GMP	0	0	0	0	5e-04	0	0	0	0	0	0	0	0
HSC	0.0994	0.0423	0	0.1813	0.3072	0.0381	0.0855	0	0.0663	0	0	0.0178	0.0616
Hepatocytes	0	0	0	0	0.0024	0	0	0	0	0	0	0.0017	2e-04
Keratinocytes	0	0	0	0	0	6e-04	0	7e-04	0.0043	0.0049	0.0096	0.0016	9e-04
MEP	0.0761	0.0738	0.0514	0.0694	0.0845	0.0677	0.0573	0.0663	0.057	0.0511	0.0288	0	0.015
MPP	0	0	0	0	0	0	0	0.0018	0	0	0	0	0
MSC	0.1121	0.1508	0.1384	0.1144	0.0929	0.2242	0.1127	0.1687	0.1114	0.1027	0.3118	0.0013	0
Macrophages	0.0704	0.0024	0	0.004	0	0.0264	0.0099	0.0066	3e-04	0	0	0	0.0028
Macrophages M1	0.0553	0	0	0.0065	0.0018	0.019	0.0033	0.0031	0	0	0	0	1e-04
Macrophages M2	0.0346	0	0	1e-04	0	0	8e-04	0	0	0	0	0	7e-04
Mast cells	0	0	0.0017	0	0	0	0	0	0	0	0	0.0023	0.004
Megakaryocytes	0.0044	0.0024	9e-04	0.003	0.0103	0.0048	0.0019	0.0035	0	0	0	0	3e-04
Melanocytes	0.0042	0.0017	0.0037	0.0021	0.0066	0.0028	0.0022	0.002	0.0033	5e-04	0	5e-04	0
Memory B-cells	0	0	0	0	0	0	0.0237	0.0164	0.0181	0.044	0.0096	0.0062	0.0231
Mesangial cells	0	0	0	0	0.0163	0	0	0	0	0.0055	0.0127	0.0462	0.0045
Monocytes	0.0752	0.005	0	0.0042	0	5e-04	0	0.0011	0	0	0	0	0.0067
Myocytes	0.0345	0.0234	0.0375	0.0125	0.0088	0.0728	0.0133	0.0203	0.0066	0.0055	0	0	0.0086
NK cells	0	0.0094	0.0136	0	0	0.0017	0.0135	9e-04	0	0	0	0	0
NKT	0.0132	0.0044	0.015	0.005	0	0.0493	0.0065	0.0087	0.0342	0.028	0.0645	3e-04	0
Neurons	0	3e-04	0.0014	1e-04	0	0.0016	4e-04	0.0013	0.001	0.0016	3e-04	3e-04	1e-04
Neutrophils	0.0069	0.0022	0	0	2e-04	0	0	0	0	0	0	0	0
Osteoblast	0.1061	0.0816	0.014	0.0626	0.0762	0.1001	0.0822	0.1145	0.1105	0.052	0	0	0.0087
Pericytes	0.0047	0.0033	0	0.0333	0.133	0.0841	0.0367	0.0103	0	0	0	0.0745	0.0119
Plasma cells	0.003	0	0.0041	0	0	0.0051	0.0023	0.0044	0.0011	0	4e-04	0.004	0.0061
