	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21
Adipocytes	0	0.0674	6e-04	0.0356	0.0623	0.044	0	0	0.0551	0.0017	0.0247	0.0403	0.018	0.0681	0.0023	0.0352	0.0945	0.068	0.0072	0.0372	0.1262
Astrocytes	0.0086	0	0	0.0442	0.1088	0.0607	0	0	0	0	0	0	0	0.0115	0	0.0201	0.0333	0.0505	0.0873	0.175	0.0839
B-cells	0.0305	0	0.0102	0.0042	0	0	0.0747	0	0	4e-04	0.0033	0.025	0.0336	0	0	0	0.0014	0	0	0	0.0298
Basophils	0.0724	0.1256	0	0.0245	0.1244	0.0726	0.0335	0.086	0.0464	0	0.0746	0.0205	0	0.0261	0.0438	0.0168	0.0346	0.121	0.1553	0.0932	0
CD4+ T-cells	0.04	0	0.0469	0.0073	0.0528	0.0452	0	0.0022	0	0.0065	0.0894	0.1031	0.0017	0.0219	0.0689	0.0411	0	0.0178	0.043	0.0771	0.0717
CD4+ Tcm	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0.0057	0.0155	0	8e-04	0.056	0.0688	0.0716
CD4+ Tem	0.0578	0	0	0	0.0464	0.0013	0.0297	0	0	0	0	0	0	0	0	0.0297	0	0	0.0286	0.0433	0
CD4+ memory T-cells	0.2285	0.1091	0.0787	0.0678	0.1591	0.0692	0.0931	0.0093	0	0	0.1041	0.0627	0	0	0.0524	0.0219	0	0.014	0	0.1053	0.1142
CD4+ naive T-cells	0	0	0.0127	0.0041	0.0183	0.0302	0	0	0	0.0358	0.0089	0.037	0.02	0.0125	0.0393	0.013	0	0	0	0	0.0462
CD8+ T-cells	0.0846	0	0	0.0061	0.0592	0.0234	0.035	0.0381	0	0	0	0.0123	0	0	0.0026	0.008	0	0	0	3e-04	0.0314
CD8+ Tcm	0.1423	0	0	0	0.0557	0.023	0.0037	0.0061	0.0058	0	0.0113	0.0011	0	0	0	0	0	0	0	0.002	0.002
CD8+ Tem	0.1542	0.0963	0.0241	0.0638	0.0955	0.0302	0.0416	0.0209	0.0108	0	0.013	0.0081	0	0	0	0.028	0.007	0	0	0	0
CD8+ naive T-cells	0.0043	0.0123	0.0477	0.0041	0.0026	0.0033	0.0357	0.0616	0.0116	0.0204	0.0258	0.0401	0	0	0.0229	0	0.0135	0.0417	0.0636	0.0289	0.0702
CLP	0.0647	0.0773	0.0687	0.0803	0.0586	0.0974	0.0741	0.0673	0.0529	0.0619	0.072	0.0759	0.0689	0.0908	0.0742	0.0794	0.0583	0.0528	0	0	0.0494
CMP	0.0598	0.0405	0.0815	0.0457	0.0255	0.0841	0.0479	0.0671	0.0438	0.0504	0.0555	0.0463	0.0502	0.0821	0.0856	0.0751	5e-04	0.0023	0	0	0.0508
Chondrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339	0.0719	0	0.0563	0.0219
Class-switched memory B-cells	0.0013	0	0	0	0	0	0.022	0.0041	0.0064	0	0	0	0	0	0.0395	0	0	0	0	0	0.0029
DC	0.0774	0	0	0.0259	0.0642	0.042	0.0431	0.0149	0.0357	0.0491	0.0401	0.0296	0	0	0	0	0	0.0168	0	0.0259	0.0407
Endothelial cells	0.0465	0.0947	0.111	0.2033	0.2871	0.1267	0.011	0.0793	0.1197	0.0472	0.0776	0	0.0689	0.1188	0.0589	0.0555	0.0373	0.0091	0.1122	0.0809	0.0575
Eosinophils	0.009	0.0188	0	0	0.0423	0.0068	0.0259	0.0161	0.1149	0.0196	0	0	0.1012	0.1303	0.0405	0.1022	0	0	0	0.038	0.0075
Epithelial cells	0	0.0696	0.0585	0.1007	0.0653	0.1527	0.1743	0.1023	0.218	0.1305	0.1677	0.2026	0.1704	0.2157	0.1407	0.2232	0.2507	0.2553	0.3421	0.2252	0.1856
Erythrocytes	6e-04	0	0.0225	0.0112	0	0	0.0042	0.0035	0.0125	0	0.0023	0.0193	0	0	0	0	0.0341	0.0101	0	0	0
Fibroblasts	0.0212	0	0	0	0	0	0.0011	0	0	0.1222	0	0.0148	0	0	0	0	0	0	0	0	0.0351
GMP	0.0535	0.0377	0.0031	0	0.0713	0.0118	0	0	0	0	0.0072	0	0	0	0	0	0	0	0.0104	0.0272	0.0304
HSC	0.0892	0.041	0	0.1312	0.2001	0.2487	0.0508	0.0917	0.1416	0.0394	0.1188	0	0.0461	0.1214	0.0822	0.1332	0.1294	0	0	0.0462	0.0931
Hepatocytes	0.0146	0.0372	0.033	0.0473	0.0569	0	0.0389	0	0.0166	0.0297	0.0184	0.0159	0	0	0	0.0134	0.0429	0.0389	0.0099	0.0293	0.0413
Keratinocytes	0	0	0	0.0246	0.0023	0.0484	0.0581	0.0343	0.0556	0.0464	0.0544	0.0727	0.1024	0.0897	0.0733	0.0792	0.0945	0.1023	0.1286	0.087	0.0664
MEP	0.1284	0.099	0.0716	0.1293	0.0954	0.1906	0.1184	0.1476	0.0737	0.1457	0.1168	0.1378	0.1611	0.1785	0.1398	0.1393	0.1142	0.117	0.0956	0	0
MPP	0.1536	0.0374	0.0252	0	6e-04	0.0605	0.0365	0.0546	0.0466	0.0397	0.0089	0.0377	0.0664	9e-04	0.0102	0.0341	0.0266	0	0	0	0
MSC	0.1353	0.2067	0.232	0.1582	0.0977	0.1298	0.2412	0.254	0.2799	0.3409	0.1848	0.3393	0.2747	0.1612	0.1604	0.1629	0.1572	0.1835	0.2446	0	0
Macrophages	0.2279	0.0501	0.0611	0.0789	0.0813	0.0963	0.1163	0.0772	0.073	0.1597	0.0985	0.0752	0.0396	0.1142	0.0369	0.1041	0.0513	0.0332	0	0.0053	0.0645
Macrophages M1	0.0913	0.0101	0.0032	0.0321	0.0316	0.0521	0.0186	0.0346	0.0176	0.0642	0.0235	0.023	3e-04	0.0424	0.0141	0.0398	0	0.0116	0	0.0101	0.0184
Macrophages M2	0.2178	0.007	0.0339	0.0276	0.0059	0.0129	0.1024	0.0107	0	0.0642	0.0456	0.0381	0.0388	0.0613	0.0091	0.0398	0	0	0	0	0
Mast cells	0.0157	0.0148	0.0082	0.0098	0.0227	0.0159	0.0089	0.024	0.0077	0	0.0051	0.0145	0.0044	0.0122	0.0144	0.0142	0	0.0033	0	0.0025	0.005
Megakaryocytes	0.0746	0.1092	0.0051	0.0461	0.1313	0	0.0763	0.0169	0.091	0.0642	0.0181	0.0771	0.1205	0.0447	0.053	0.03	0	0.0272	0	0	0.0112
Melanocytes	0.0226	0.0159	0.0438	0.0286	0.0563	0	0.0524	0.0215	0.0478	0.0185	0.0445	0.0228	0.0163	0.0043	0.0217	0.0273	0.0584	0.0298	0	0.002	0.0198
Memory B-cells	0.0018	0	0	0.0209	0	0.0054	0.0351	0	0	0.0081	0.0108	0.004	0	0	0	0	0.0218	0.0141	0	0	0.0103
Mesangial cells	0.0157	0.0074	0.0033	0.0397	0.0816	0.0435	0	0.0191	0	0.0363	0.0079	0	0	0	0.0074	0.0218	0.0175	0.028	0.0714	0.0993	0.0406
Monocytes	0.1795	0.1129	0	0.0513	0.021	0.0455	0.0221	0.0022	0.0028	0.0145	0.0023	0.0191	0	0	0	0.0103	0	0.0112	0.0097	0	0.0687
Myocytes	0.0319	0.0257	0.0219	0.0026	0.0073	0.0034	0.0146	0	0.0409	0.0384	0.0092	0.0101	0.0222	0.0178	0.016	0.0067	4e-04	0	0	0	0
NK cells	0.0477	0.1707	0.0861	0.0722	0.0065	0.0347	0.0653	0.0163	0.0061	0.0237	0.1374	0.0329	0	0	0	0	0.0169	0	0	0	0
NKT	0.0639	4e-04	0.0666	0.0422	0.0602	0.1341	0.06	0.1698	0.1202	0.1515	0.0454	0.0621	0.0788	0.1378	0.0338	0.0359	0.0947	0.1129	0.1519	0.0074	0
Neurons	0	0.0184	0.0267	0.0253	9e-04	0.0349	0.0292	0.0036	0.0039	0.0371	0.0266	0.032	0.0461	0.0323	0.0523	0.0374	0.0374	0.0338	0.0128	0.0182	0.0182
Neutrophils	0.1336	0.1218	0	0.0401	0.0889	0.0357	0	0.0158	0.0241	0	0	0.0175	0	0	0	0.0028	0	0	0.029	0.0118	0
Osteoblast	0.2098	0.1549	0.0947	0.1388	0.1217	0.2381	0.202	0.2709	0.0923	0.2139	0.1882	0.225	0.2632	0.2334	0.2526	0.2145	0.1808	0.1351	0.0361	0	0
Pericytes	0.0132	0.005	0.0154	0.0199	0.0399	0.0235	0.0117	0.0259	0.0297	0.0559	0.0269	0.0228	0.0397	0.0307	0.0352	0.0257	0.0112	0	0.0279	0.0157	0
Plasma cells	0.0854	0.0287	0.0698	0.0446	0.0325	0	0.0999	0.0556	0.0896	0.0875	0.0864	0.1137	0.0495	0	0.0167	0.0405	0.0858	0.073	0.0541	0.0634	0.1037
Platelets	0.0515	0.0319	0.0567	0.0341	0	0	0.0428	5e-04	0	0.0525	0	0.0344	0.1138	0.0518	0.0863	0.0459	0	0.0024	0	0.0112	0.0214
Preadipocytes	0.0284	0.0208	0.0265	0.0037	0.0592	0	0.0427	0.0141	0.0057	0.0323	0.0413	0.0352	0	0.0051	0.0185	0	0.0073	0.0115	0.0423	0.0418	0.0463
Sebocytes	0.0035	0	3e-04	0.0036	0.0064	0.0087	0.0137	0.0134	0.0094	0.0022	0.0131	0.0139	0.0082	0.0084	0.0061	0.0115	0.0118	0.0119	0.0111	0.0097	0.0101
Skeletal muscle	0.0145	6e-04	0.0075	0.0116	0	0	0.0102	0	0.0086	0.0186	0.0036	0.0048	0	0	0	0	0.008	0.0056	0	0	0
Smooth muscle	0.0458	0.0718	0.0958	0.0305	0	0	0	0	0	0.0203	0.0183	0	0	0	0	0	0	0	0	0	0
Tgd cells	0.1387	0.1034	0.1029	0.1243	0.1187	0.0928	0.1165	0.0984	0.0841	0.095	0.0904	0.1123	0.0934	0.0715	0.0845	0.0919	0.0584	0.069	0.0107	0	0.0623
Th1 cells	0	0.1097	0.1215	0.0366	0	0.0967	0.0746	0.0701	0.046	0.1046	0.1275	0.1085	0.1433	0.1428	0.1168	0.0879	0.0847	0.0656	0.1003	0	0
Th2 cells	0.0904	0.0532	0.0605	0.053	0.0569	0.0532	0.0617	0.0299	0.0405	0.0117	0.0229	0.0312	0.0311	0.0326	0.0327	0.0429	0.0045	0	0	0	0.0059
Tregs	0	0	0.0618	0.0302	0	0.0134	0	0	0.0252	0	0.1125	0.0509	0	0	0.0532	0.0298	0	0.0394	0.0427	0.0953	0.0713
aDC	0.127	0.06	0.0457	0.1417	0.1933	0.1483	0.1225	0.0951	0.0885	0.1156	0.1102	0.0993	0	0.0645	0.041	0.0669	0	0.0772	0.0306	0.0804	0.1318
cDC	0	0	0	0	0.0395	0.0071	0	0.0029	0.0059	0	9e-04	0	0	0	0	0	0	0	0.0433	0.0528	0
iDC	0.0797	0	0	0	0	0	0.0052	0.0011	0.0041	0	0.024	0.013	0	0	0	0.0075	0.0017	0.0155	0	0	0.0371
ly Endothelial cells	0.0178	0.0617	0.1125	0.1582	0.2277	0.0974	0	0.0521	0.0915	0.031	0.065	0	0.039	0.0776	0.0342	0.1008	0	0.0077	0.1138	0.1323	0.013
mv Endothelial cells	0.0725	0.0776	0.1145	0.1494	0.2551	0.1319	0.0128	0.0932	0.0971	0.0481	0.0311	0	0.0699	0.0974	0.0468	0.0733	7e-04	0.0077	0.2021	0.1612	0.0465
naive B-cells	0.0136	0	0	8e-04	0	0.0288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116
pDC	0.0362	0.0316	0.0052	0.0498	0.1042	0.0187	0.0333	0	0.0704	0.0241	0.0647	0.0109	0	0	0	0	0.0373	0.0564	0.0708	0.0624	0.0087
pro B-cells	0.0209	0	0	0	0	0.0161	0	0	0	0	0.0067	0.0233	0	0	0	0	0.0399	0.0014	0	0.0093	0
ImmuneScore	0.5639	0.3261	0.1417	0.1972	0.2926	0.2303	0.2609	0.1379	0.1762	0.1823	0.2507	0.2195	0.1203	0.1857	0.1089	0.1885	0.0464	0.0549	0.0545	0.1073	0.2129
StromaScore	0.0338	0.0811	0.0558	0.1194	0.1747	0.0854	0.006	0.0396	0.0874	0.0856	0.0512	0.0276	0.0434	0.0934	0.0306	0.0454	0.0659	0.0386	0.0597	0.059	0.1094
MicroenvironmentScore	0.5978	0.4071	0.1975	0.3166	0.4673	0.3157	0.2669	0.1775	0.2636	0.2679	0.3019	0.247	0.1638	0.2792	0.1395	0.2338	0.1123	0.0934	0.1142	0.1663	0.3223
